id,name,short,state_id,op_id,status_id
435,Kabupaten Muna Barat,7413,28,1,1
436,Kabupaten Buton Tengah,7414,28,1,1
437,Kabupaten Buton Selatan,7415,28,1,1
438,Kota Kendari,7471,28,1,1
439,Kota Baubau,7472,28,1,1
440,Kabupaten Boalemo,7501,29,1,1
441,Kabupaten Gorontalo,7502,29,1,1
442,Kabupaten Pohuwato,7503,29,1,1
443,Kabupaten Bone Bolango,7504,29,1,1
444,Kabupaten Gorontalo Utara,7505,29,1,1
445,Kota Gorontalo,7571,29,1,1
446,Kabupaten Majene,7601,30,1,1
447,Kabupaten Polewali Mandar,7602,30,1,1
448,Kabupaten Mamasa,7603,30,1,1
449,Kabupaten Mamuju,7604,30,1,1
450,Kabupaten Mamuju Utara,7605,30,1,1
451,Kabupaten Mamuju Tengah,7606,30,1,1
452,Kabupaten Maluku Tenggara Barat,8101,31,1,1
453,Kabupaten Maluku Tenggara,8102,31,1,1
454,Kabupaten Maluku Tengah,8103,31,1,1
455,Kabupaten Buru,8104,31,1,1
456,Kabupaten Kepulauan Aru,8105,31,1,1
457,Kabupaten Seram Bagian Barat,8106,31,1,1
458,Kabupaten Seram Bagian Timur,8107,31,1,1
459,Kabupaten Maluku Barat Daya,8108,31,1,1
460,Kabupaten Buru Selatan,8109,31,1,1
461,Kota Ambon,8171,31,1,1
462,Kota Tual,8172,31,1,1
463,Kabupaten Halmahera Barat,8201,32,1,1
464,Kabupaten Halmahera Tengah,8202,32,1,1
465,Kabupaten Kepulauan Sula,8203,32,1,1
466,Kabupaten Halmahera Selatan,8204,32,1,1
467,Kabupaten Halmahera Utara,8205,32,1,1
468,Kabupaten Halmahera Timur,8206,32,1,1
469,Kabupaten Pulau Morotai,8207,32,1,1
470,Kabupaten Pulau Taliabu,8208,32,1,1
471,Kota Ternate,8271,32,1,1
472,Kota Tidore Kepulauan,8272,32,1,1
473,Kabupaten Fakfak,9101,33,1,1
474,Kabupaten Kaimana,9102,33,1,1
475,Kabupaten Teluk Wondama,9103,33,1,1
476,Kabupaten Teluk Bintuni,9104,33,1,1
477,Kabupaten Manokwari,9105,33,1,1
478,Kabupaten Sorong Selatan,9106,33,1,1
479,Kabupaten Sorong,9107,33,1,1
480,Kabupaten Raja Ampat,9108,33,1,1
481,Kabupaten Tambrauw,9109,33,1,1
482,Kabupaten Maybrat,9110,33,1,1
483,Kabupaten Manokwari Selatan,9111,33,1,1
484,Kabupaten Pegunungan Arfak,9112,33,1,1
485,Kota Sorong,9171,33,1,1
486,Kabupaten Merauke,9401,34,1,1
487,Kabupaten Jayawijaya,9402,34,1,1
488,Kabupaten Jayapura,9403,34,1,1
489,Kabupaten Nabire,9404,34,1,1
490,Kabupaten Kepulauan Yapen,9408,34,1,1
491,Kabupaten Biak Numfor,9409,34,1,1
492,Kabupaten Paniai,9410,34,1,1
493,Kabupaten Puncak Jaya,9411,34,1,1
494,Kabupaten Mimika,9412,34,1,1
495,Kabupaten Boven Digoel,9413,34,1,1
496,Kabupaten Mappi,9414,34,1,1
497,Kabupaten Asmat,9415,34,1,1
498,Kabupaten Yahukimo,9416,34,1,1
499,Kabupaten Pegunungan Bintang,9417,34,1,1
500,Kabupaten Tolikara,9418,34,1,1
501,Kabupaten Sarmi,9419,34,1,1
502,Kabupaten Keerom,9420,34,1,1
503,Kabupaten Waropen,9426,34,1,1
504,Kabupaten Supiori,9427,34,1,1
505,Kabupaten Mamberamo Raya,9428,34,1,1
506,Kabupaten Nduga,9429,34,1,1
507,Kabupaten Lanny Jaya,9430,34,1,1
508,Kabupaten Mamberamo Tengah,9431,34,1,1
509,Kabupaten Yalimo,9432,34,1,1
510,Kabupaten Puncak,9433,34,1,1
511,Kabupaten Dogiyai,9434,34,1,1
512,Kabupaten Intan Jaya,9435,34,1,1
513,Kabupaten Deiyai,9436,34,1,1
514,Kota Jayapura,9471,34,1,1
